date,open,high,low,close
2025-03-28,52.44780683807184,52.70713076001805,51.076339099368276,52.32421659138537
2025-03-31,52.413754770310454,52.67500507613138,51.239227760403466,51.863382834921815
2025-04-01,50.7641365632145,52.30698952724489,50.689790903395014,51.18282890892354
2025-04-02,50.35358577779744,51.25077403244769,50.109579817207546,50.57103332122923
2025-04-03,50.675802574047225,50.62387409050571,49.18906092266347,49.57149484359166
2025-04-04,49.22268141891138,51.01421233306436,49.86761367898081,49.931952506930216
2025-04-07,50.729657611469094,51.951945923359276,50.599824591144085,50.94065692645122
2025-04-08,50.669490399844385,51.889519270398374,50.18443045195951,50.9317177237586
2025-04-09,51.54613936497117,51.75766002852072,50.105569660937604,50.49785137657824
2025-04-10,52.549458348520524,52.82331852841814,51.464596969424775,52.39897859875506
2025-04-11,52.43921213352024,53.180311290439185,51.23500559970161,52.63625626128366
2025-04-14,52.49629875174167,54.227270530964816,52.839625026904685,52.66587769891495
2025-04-15,54.79506604408738,55.40440507105197,53.72755877447526,54.427769216712086
2025-04-16,54.239140512203385,54.39805098179212,53.017259439330154,54.766414809715286
2025-04-17,54.049299692105805,54.38615685364054,53.90621182273602,54.48439364588067
2025-04-18,53.84631271338436,54.620814473435054,53.356386127105495,53.658609916437754
2025-04-21,53.60713314000222,53.89746879616576,52.64214316064578,54.874796375346236
2025-04-22,53.55347884754259,54.59108074417999,52.739045243785505,53.20910209238186
2025-04-23,53.29072075299621,53.68476500905798,52.398868606410694,51.88808501393038
2025-04-24,53.522554727372984,52.73066783451248,50.66736683147169,51.188021574117
2025-04-25,52.58059063484539,54.49828890550216,52.664421615563064,52.77837098796969
2025-04-28,54.26848675055483,54.13288718134529,53.86579120126443,54.26437927149127
2025-04-29,54.3907016722687,54.45765755983314,53.09462512117003,53.959872187282535
2025-04-30,54.68572904367572,54.174007807737276,52.96777220132805,54.63659848244251
2025-05-01,54.93478316814485,55.407530384922424,52.963028503388124,54.67765816489471
2025-05-02,55.03449380373773,55.428023309247195,54.53229231438517,55.031956674588756
2025-05-05,53.79880454132823,54.34727341862618,52.90254716743357,54.22548379148964
2025-05-06,56.5721156618106,57.12415480930353,55.00707568927581,56.33299315583219
2025-05-07,57.372191549881734,59.24261668534713,56.901899866255256,57.33332798056559
2025-05-08,59.724106901336306,59.40804352638537,57.664950817937225,57.98463881920145
