date,nc,c,ct,ctt
2025-05-09,41.810683503642885,41.810683503642885,41.810683503642885,41.810683503642885
2025-05-12,41.810683503642885,41.879649020884266,41.85516626226357,41.81127803396393
2025-05-13,41.810683503642885,41.948614538125646,41.89964902088427,41.81306162492707
2025-05-14,41.810683503642885,42.01758005536702,41.94413177950496,41.8160342765323
2025-05-15,41.810683503642885,42.0865455726084,41.988614538125645,41.82019598877962
2025-05-16,41.810683503642885,42.15551108984978,42.03309729674633,41.825546761669045
2025-05-19,41.810683503642885,42.22447660709116,42.07758005536702,41.83208659520056
2025-05-20,41.810683503642885,42.29344212433254,42.12206281398771,41.83981548937416
2025-05-21,41.810683503642885,42.36240764157392,42.1665455726084,41.848733444189854
2025-05-22,41.810683503642885,42.4313731588153,42.211028331229095,41.85884045964764
2025-05-23,41.810683503642885,42.50033867605668,42.25551108984978,41.87013653574752
2025-05-26,41.810683503642885,42.56930419329806,42.29999384847047,41.8826216724895
2025-05-27,41.810683503642885,42.63826971053944,42.34447660709116,41.89629586987356
2025-05-28,41.810683503642885,42.707235227780814,42.388959365711855,41.91115912789972
2025-05-29,41.810683503642885,42.776200745022194,42.433442124332544,41.92721144656797
2025-05-30,41.810683503642885,42.845166262263575,42.477924882953225,41.94445282587832
2025-06-02,41.810683503642885,42.914131779504956,42.52240764157391,41.962883265830754
2025-06-03,41.810683503642885,42.98309729674633,42.56689040019461,41.982502766425284
2025-06-04,41.810683503642885,43.05206281398771,42.6113731588153,42.00331132766191
2025-06-05,41.810683503642885,43.12102833122909,42.655855917435986,42.02530894954062
2025-06-06,41.810683503642885,43.18999384847047,42.70033867605668,42.04849563206143
2025-06-09,41.810683503642885,43.25895936571185,42.74482143467737,42.07287137522434
2025-06-10,41.810683503642885,43.327924882953226,42.78930419329806,42.09843617902933
2025-06-11,41.810683503642885,43.39689040019461,42.833786951918746,42.125190043476415
2025-06-12,41.810683503642885,43.46585591743599,42.87826971053944,42.15313296856559
2025-06-13,41.810683503642885,43.53482143467737,42.92275246916012,42.18226495429687
2025-06-16,41.810683503642885,43.60378695191875,42.96723522778081,42.212586000670235
2025-06-17,41.810683503642885,43.67275246916012,43.01171798640151,42.24409610768569
2025-06-18,41.810683503642885,43.741717986401504,43.056200745022196,42.27679527534324
2025-06-19,41.810683503642885,43.810683503642885,43.100683503642884,42.310683503642885
