date,nc,c,ct,ctt
2025-05-09,52.17923587900686,52.17923587900686,52.17923587900686,52.17923587900686
2025-05-12,52.17923587900686,52.24820139624824,52.22371863762755,52.179830409327906
2025-05-13,52.17923587900686,52.31716691348962,52.268201396248244,52.18161400029105
2025-05-14,52.17923587900686,52.386132430730996,52.31268415486893,52.184586651896275
2025-05-15,52.17923587900686,52.45509794797238,52.35716691348962,52.1887483641436
2025-05-16,52.17923587900686,52.52406346521376,52.4016496721103,52.19409913703302
2025-05-19,52.17923587900686,52.59302898245514,52.446132430731,52.20063897056453
2025-05-20,52.17923587900686,52.66199449969652,52.490615189351686,52.208367864738136
2025-05-21,52.17923587900686,52.73096001693789,52.535097947972375,52.21728581955383
2025-05-22,52.17923587900686,52.79992553417927,52.57958070659307,52.227392835011614
2025-05-23,52.17923587900686,52.868891051420654,52.62406346521376,52.238688911111495
2025-05-26,52.17923587900686,52.937856568662035,52.66854622383445,52.251174047853475
2025-05-27,52.17923587900686,53.006822085903416,52.713028982455135,52.26484824523754
2025-05-28,52.17923587900686,53.07578760314479,52.75751174107583,52.2797115032637
2025-05-29,52.17923587900686,53.14475312038617,52.80199449969652,52.29576382193195
2025-05-30,52.17923587900686,53.21371863762755,52.8464772583172,52.3130052012423
2025-06-02,52.17923587900686,53.28268415486893,52.89096001693789,52.33143564119473
2025-06-03,52.17923587900686,53.351649672110305,52.935442775558585,52.35105514178926
2025-06-04,52.17923587900686,53.420615189351686,52.97992553417927,52.37186370302589
2025-06-05,52.17923587900686,53.48958070659307,53.02440829279996,52.3938613249046
2025-06-06,52.17923587900686,53.55854622383445,53.06889105142066,52.41704800742541
2025-06-09,52.17923587900686,53.62751174107583,53.113373810041345,52.441423750588314
2025-06-10,52.17923587900686,53.6964772583172,53.157856568662034,52.4669885543933
2025-06-11,52.17923587900686,53.76544277555858,53.20233932728272,52.49374241884039
2025-06-12,52.17923587900686,53.834408292799964,53.24682208590342,52.52168534392957
2025-06-13,52.17923587900686,53.903373810041344,53.2913048445241,52.550817329660845
2025-06-16,52.17923587900686,53.972339327282725,53.33578760314479,52.58113837603421
2025-06-17,52.17923587900686,54.0413048445241,53.38027036176548,52.61264848304967
2025-06-18,52.17923587900686,54.11027036176548,53.42475312038617,52.645347650707215
2025-06-19,52.17923587900686,54.17923587900686,53.46923587900686,52.67923587900686
