date,nc,c,ct,ctt
2025-05-09,55.88263459735863,55.88263459735863,55.88263459735863,55.88263459735863
2025-05-12,55.88263459735863,55.95160011460001,55.92711735597932,55.88322912767968
2025-05-13,55.88263459735863,56.02056563184139,55.971600114600015,55.88501271864282
2025-05-14,55.88263459735863,56.08953114908277,56.016082873220704,55.887985370248046
2025-05-15,55.88263459735863,56.15849666632415,56.06056563184139,55.89214708249537
2025-05-16,55.88263459735863,56.22746218356553,56.10504839046207,55.89749785538479
2025-05-19,55.88263459735863,56.29642770080691,56.14953114908277,55.904037688916304
2025-05-20,55.88263459735863,56.36539321804829,56.19401390770346,55.91176658308991
2025-05-21,55.88263459735863,56.43435873528966,56.238496666324146,55.9206845379056
2025-05-22,55.88263459735863,56.503324252531044,56.28297942494484,55.930791553363385
2025-05-23,55.88263459735863,56.572289769772425,56.32746218356553,55.942087629463266
2025-05-26,55.88263459735863,56.641255287013806,56.37194494218622,55.954572766205246
2025-05-27,55.88263459735863,56.71022080425519,56.416427700806906,55.96824696358931
2025-05-28,55.88263459735863,56.77918632149656,56.4609104594276,55.98311022161547
2025-05-29,55.88263459735863,56.84815183873794,56.50539321804829,55.99916254028372
2025-05-30,55.88263459735863,56.91711735597932,56.54987597666897,56.01640391959407
2025-06-02,55.88263459735863,56.9860828732207,56.59435873528966,56.0348343595465
2025-06-03,55.88263459735863,57.055048390462076,56.638841493910355,56.05445386014103
2025-06-04,55.88263459735863,57.12401390770346,56.683324252531044,56.07526242137766
2025-06-05,55.88263459735863,57.19297942494484,56.72780701115173,56.09726004325637
2025-06-06,55.88263459735863,57.26194494218622,56.77228976977243,56.12044672577718
2025-06-09,55.88263459735863,57.3309104594276,56.816772528393116,56.144822468940085
2025-06-10,55.88263459735863,57.39987597666897,56.861255287013805,56.170387272745074
2025-06-11,55.88263459735863,57.468841493910354,56.90573804563449,56.19714113719216
2025-06-12,55.88263459735863,57.537807011151735,56.95022080425519,56.22508406228134
2025-06-13,55.88263459735863,57.606772528393115,56.99470356287587,56.254216048012616
2025-06-16,55.88263459735863,57.675738045634496,57.03918632149656,56.28453709438598
2025-06-17,55.88263459735863,57.74470356287587,57.083669080117254,56.31604720140144
2025-06-18,55.88263459735863,57.81366908011725,57.12815183873794,56.348746369058986
2025-06-19,55.88263459735863,57.88263459735863,57.17263459735863,56.38263459735863
