date,nc,c,ct,ctt
2025-05-09,60.809690283162865,60.809690283162865,60.809690283162865,60.809690283162865
2025-05-12,60.809690283162865,60.878655800404246,60.854173041783554,60.81028481348391
2025-05-13,60.809690283162865,60.94762131764563,60.89865580040425,60.812068404447054
2025-05-14,60.809690283162865,61.016586834887,60.94313855902494,60.81504105605228
2025-05-15,60.809690283162865,61.08555235212838,60.987621317645626,60.819202768299604
2025-05-16,60.809690283162865,61.15451786936976,61.03210407626631,60.824553541189026
2025-05-19,60.809690283162865,61.22348338661114,61.076586834887,60.83109337472054
2025-05-20,60.809690283162865,61.292448903852524,61.12106959350769,60.83882226889414
2025-05-21,60.809690283162865,61.3614144210939,61.16555235212838,60.847740223709835
2025-05-22,60.809690283162865,61.43037993833528,61.210035110749075,60.85784723916762
2025-05-23,60.809690283162865,61.49934545557666,61.254517869369764,60.8691433152675
2025-05-26,60.809690283162865,61.56831097281804,61.29900062799045,60.88162845200948
2025-05-27,60.809690283162865,61.63727649005942,61.34348338661114,60.89530264939354
2025-05-28,60.809690283162865,61.706242007300794,61.387966145231836,60.9101659074197
2025-05-29,60.809690283162865,61.775207524542175,61.432448903852524,60.926218226087954
2025-05-30,60.809690283162865,61.844173041783556,61.476931662473206,60.9434596053983
2025-06-02,60.809690283162865,61.91313855902494,61.521414421093894,60.961890045350735
2025-06-03,60.809690283162865,61.98210407626631,61.56589717971459,60.981509545945265
2025-06-04,60.809690283162865,62.05106959350769,61.61037993833528,61.00231810718189
2025-06-05,60.809690283162865,62.12003511074907,61.654862696955966,61.0243157290606
2025-06-06,60.809690283162865,62.18900062799045,61.69934545557666,61.04750241158141
2025-06-09,60.809690283162865,62.25796614523183,61.74382821419735,61.07187815474432
2025-06-10,60.809690283162865,62.32693166247321,61.78831097281804,61.09744295854931
2025-06-11,60.809690283162865,62.39589717971459,61.83279373143873,61.124196822996396
2025-06-12,60.809690283162865,62.46486269695597,61.87727649005942,61.152139748085574
2025-06-13,60.809690283162865,62.53382821419735,61.921759248680104,61.18127173381685
2025-06-16,60.809690283162865,62.60279373143873,61.96624200730079,61.211592780190216
2025-06-17,60.809690283162865,62.671759248680104,62.01072476592149,61.24310288720567
2025-06-18,60.809690283162865,62.740724765921485,62.055207524542176,61.27580205486322
2025-06-19,60.809690283162865,62.809690283162865,62.099690283162865,61.309690283162865
